ptax_compra,ptax_venda,ptax_mid,mt5_close,date,diff_bps_venda,diff_bps_mid
5.3962,5.3968,5.3965,5.4361,2025-09-05,72.82093092202767,73.38089502455311
5.4272,5.4278,5.4275,5.4572,2025-09-08,54.16559195254038,54.72132657761411
5.4272,5.4278,5.4275,5.4788,2025-09-09,93.96072073399769,94.5186549976959
5.4117,5.4123,5.412,5.4692,2025-09-10,105.13090552999599,105.69105691056896
5.3852,5.3858,5.3855,5.4374,2025-09-11,95.80749377994084,96.36988209079905
5.3671,5.3677,5.3674,5.4254,2025-09-12,107.49483018797557,108.05976823042782
5.3202,5.3208,5.3205,5.3691,2025-09-15,90.77582318448397,91.3447984212018
5.309,5.3096,5.3093,5.3535,2025-09-16,82.68042790417493,83.2501459702786
5.3005,5.3011,5.300800000000001,5.3374,2025-09-17,68.47635396427114,69.04618170841962
5.3004,5.301,5.3007,5.3392,2025-09-18,72.06187511790189,72.63191653932495
5.327,5.3276,5.3273,5.3676,2025-09-19,75.0807117651476,75.64807688697881
5.3451,5.3457,5.3454,5.3731,2025-09-22,51.25614980264529,51.820256669286266
5.3057,5.3063,5.306,5.3633,2025-09-23,107.4194825019307,107.99095363739103
5.3106,5.3112,5.3109,5.3444,2025-09-24,62.50941406838359,63.077821084938684
5.3419,5.3425,5.3422,5.3685,2025-09-25,48.6663547028541,49.23065403766236
5.3439,5.3445,5.3442,5.3846,2025-09-26,75.03040508934382,75.59597320459562
5.3223,5.3229,5.3225999999999996,5.37,2025-09-29,88.48559995491249,89.05422162101334
5.318,5.3186,5.3183,5.3551,2025-09-30,68.62708231489528,69.19504352894795
5.3202,5.3208,5.3205,5.3505,2025-10-01,55.81867388362663,56.38567803777887
5.3443,5.3449,5.3446,5.3691,2025-10-02,45.276805927146334,45.84066160236618
5.3492,5.3498,5.3495,5.3809000000000005,2025-10-03,58.13301431829293,58.697074492944274
5.322,5.3226,5.3223,5.3675,2025-10-06,84.35726900386891,84.92569002123041
5.3357,5.3363,5.336,5.3709,2025-10-07,64.83893334332812,65.40479760119844
5.3421,5.3427,5.3424,5.3752,2025-10-08,60.830666142588285,61.39562743336484
