grupo,k_min,mean_bps,se_bps,n_eventos
"R$1,00",-10,-7.031670066572549,2.943179206409,46
"R$1,00",-9,-6.805997526262584,2.8043400319791845,46
"R$1,00",-8,-5.959972019322323,2.5162629126259946,46
"R$1,00",-7,-5.273027347952012,2.474856336183335,46
"R$1,00",-6,-5.78128940151982,2.3284203246052497,46
"R$1,00",-5,-5.74604505674707,2.2708753636701404,46
"R$1,00",-4,-5.281304487220771,2.0099489780503297,46
"R$1,00",-3,-4.555703401568257,1.6594647633041948,46
"R$1,00",-2,-5.698239736647389,1.4860542043472975,46
"R$1,00",-1,-3.9161820975600894,1.1126308378933814,46
"R$1,00",0,0.0,0.0,46
"R$1,00",1,-0.09986808829062926,0.37700262456590855,46
"R$1,00",2,-0.38198404515729717,0.6917524224284236,46
"R$1,00",3,-0.7952875085628052,0.8231363015017011,46
"R$1,00",4,-0.829845228276842,0.9260423599449055,46
"R$1,00",5,-1.0215875116527304,0.9516364129769849,46
"R$1,00",6,-1.035369365690935,1.2423252233860445,46
"R$1,00",7,-1.0570064563865402,1.623036939511689,46
"R$1,00",8,0.09505726515160633,1.6226142236205294,46
"R$1,00",9,0.5416202176034242,1.853414895424391,46
"R$1,00",10,0.4374095159311371,1.5315610305206733,46
"R$1,00",11,0.09385993011079964,1.642131374456593,46
"R$1,00",12,-0.3097070139670477,1.695435890630013,46
"R$1,00",13,-0.7225366018794388,1.9643549883944444,46
"R$1,00",14,-0.3490332150157069,2.2893827314700816,46
"R$1,00",15,-0.0018695139779055744,2.1510718548768346,46
"R$1,00",16,-0.20643784840739113,2.6116604334304183,46
"R$1,00",17,-0.3657668707377739,2.5417501760216457,46
"R$1,00",18,0.10283617203122367,2.5464629106544567,46
"R$1,00",19,0.1469167259631168,2.4661874505719252,46
"R$1,00",20,-0.47467981046765007,2.224292700561172,46
"R$1,00",21,0.17743119184923511,2.1800608039314207,46
"R$1,00",22,-0.034950653496261266,2.419254247285914,46
"R$1,00",23,0.29154672253978225,2.5774477417129806,46
"R$1,00",24,0.5783494203986396,2.6901018229333284,46
"R$1,00",25,0.12170751835831864,2.3852136958552066,46
"R$1,00",26,0.9091078431288346,2.5633502593429442,46
"R$1,00",27,0.7562842848823665,2.3143991942200093,46
"R$1,00",28,0.49602299097917363,2.289742680758112,46
"R$1,00",29,0.6569157529638034,2.232495028356681,46
"R$1,00",30,1.1266692225332426,2.212988745686152,46
"R$0,50",-10,-6.3359278464465065,1.298276820848874,179
"R$0,50",-9,-5.98855191721945,1.232924015527029,179
"R$0,50",-8,-5.870739810617463,1.169209500573332,179
"R$0,50",-7,-6.043783840727989,1.0941046599478392,179
"R$0,50",-6,-5.697199913901348,1.1011295683780997,179
"R$0,50",-5,-5.4466220375932,0.9244560721310647,179
"R$0,50",-4,-5.460605348739828,0.8248164661745648,179
"R$0,50",-3,-5.137318284560036,0.7552875703214582,179
"R$0,50",-2,-5.865489756328727,0.7838151327817843,179
"R$0,50",-1,-4.097183217056043,0.6015072503348503,179
"R$0,50",0,0.0,0.0,179
"R$0,50",1,-0.042767628404190086,0.34004467232074354,179
"R$0,50",2,-0.49248732468164347,0.5128482994122245,179
"R$0,50",3,-0.615013398607793,0.6112073514509568,179
"R$0,50",4,-0.9625707827393059,0.6141291119680111,179
"R$0,50",5,-0.959847013180267,0.6026854479631508,179
"R$0,50",6,-0.9839918477685147,0.6333391963552508,179
"R$0,50",7,-1.4066239642209677,0.751899313186342,179
"R$0,50",8,-0.8003341212728485,0.8024339448018512,179
"R$0,50",9,-0.5489675910341486,0.9097491643801529,179
"R$0,50",10,-1.0610835487903143,0.9069265427265354,179
"R$0,50",11,-1.1654980996568398,0.9242920455530738,179
"R$0,50",12,-1.1434160743421466,0.9429473825329278,179
"R$0,50",13,-1.6892032310076905,0.9814336858911353,179
"R$0,50",14,-1.215134401106496,1.074518547842021,179
"R$0,50",15,-1.1584138690306625,1.0852534673404826,179
"R$0,50",16,-1.126408912651615,1.152027942348523,179
"R$0,50",17,-0.9571517607055319,1.1601580985317113,179
"R$0,50",18,-0.8902080358359272,1.183704306895774,179
"R$0,50",19,-0.8292590750893991,1.1760875832237419,179
"R$0,50",20,-1.0250081712946968,1.1239388383701756,179
"R$0,50",21,-0.9087192293345223,1.1074184799240487,179
"R$0,50",22,-1.0153761634378367,1.110849684757882,179
"R$0,50",23,-0.9326821332154298,1.1472060007716356,179
"R$0,50",24,-0.9017404045733823,1.1714748913015889,179
"R$0,50",25,-0.9145892376936247,1.1581428710567483,179
"R$0,50",26,-0.524222127099933,1.1857929021131277,179
"R$0,50",27,-0.11735862179530963,1.1725373006639592,179
"R$0,50",28,-0.04325100784350954,1.2192194971035037,179
"R$0,50",29,0.05590307303417937,1.2300013760790613,179
"R$0,50",30,0.20269947460549365,1.2299789726000423,179
"R$0,10",-10,-5.018371008398052,0.5012669763151514,693
"R$0,10",-9,-5.025660695033663,0.47915201564348553,693
"R$0,10",-8,-4.983084882102329,0.45031596089063736,693
